priority_rank,status,meta_id,publication_date_local,local_time,caption,interactions,reactions,comments,shares,asset_ref_known,next_evidence_needed
137,Needs_Asset_Match,1036844829507460_122132558535072582,2026-06-21,,🤭🤭 #UniverseSentMe #cosasquepasan #tiktok #YOMismo,8,4,2,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
138,Visual_Confirmed,1036844829507460_122133977385072582,2026-06-26,,🫢🫢🫢,8,6,1,1,2607818,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
139,Visual_Confirmed,1036844829507460_122134344879072582,2026-06-29,,Ganar... o m0r1r!!!! 😬 #UniverseSentMe #humor #Adivina,8,7,0,1,2607835,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
140,Visual_Confirmed,1036844829507460_122134649487072582,2026-06-30,,"Te la pelaste Claudia: Nos invitamos solos, si vimos tv Asteca y no vamos a registrar nuestra linea. #mexico #angeldelaindependencia #OctavosDeFinal",8,7,1,0,2607843,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
141,Visual_Confirmed,1036844829507460_122125539447072582,2026-06-01,,No es mi pedo... 🤷‍♂️,7,6,1,0,260647,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
142,Visual_Confirmed,1036844829507460_122125642935072582,2026-06-01,,Soñé que nos seguías... 🫣,7,6,1,0,260697,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
143,Visual_Confirmed,1036844829507460_122125879395072582,2026-06-02,,es anemia... :´c,7,5,1,1,260690,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
144,Visual_Confirmed,1036844829507460_122125889343072582,2026-06-02,,a mi pónganme unos de Pastor... 🤤🤤🤤 #AdultoFuncional #ReflexionDiaria #universesentme #tacos,7,6,1,0,260662,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
145,Needs_Asset_Match,1036844829507460_122126302725072582,2026-06-03,,,7,7,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
146,Visual_Confirmed,1036844829507460_122126656881072582,2026-06-04,,Al fin... u.u Sigan a Universe Sent Me #DesconexiónDigital #EvolucionPersonal #CiclosCerrados #destiny #insight #relatable #UniverseSentMe #CosasQuePasan,7,6,1,0,260686,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
147,Visual_Confirmed,1036844829507460_122127666729072582,2026-06-06,,😏🥴,7,6,1,0,260716,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
148,Visual_Confirmed,1036844829507460_122130048999072582,2026-06-12,,😼😻,7,6,1,0,260751,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
149,Needs_Asset_Match,1036844829507460_122130324285072582,2026-06-14,,No te tenías que pasar dr brg.. u.u,7,7,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
150,Visual_Confirmed,1036844829507460_122133035331072582,2026-06-23,,🫣🫣,7,6,1,0,2607803,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
151,Visual_Confirmed,1036844829507460_122133562395072582,2026-06-26,,😎😎😎 #vidagatuna #UniverseSentMe #relatable #humor,7,4,0,3,2607814,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
152,Visual_Confirmed,1036844829507460_122133567291072582,2026-06-26,,😑 aiuuuda!!,7,6,1,0,2607815,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
153,Needs_Asset_Match,1036844829507460_122134337895072582,2026-06-29,,Cómo quisiera ser una nube ☁️ #UniverseSentMe,7,6,1,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
154,Visual_Confirmed,1036844829507460_122125904103072582,2026-06-02,,"Hola, HDLV! 😋 espero que hoy si nos sigan 🙂",6,5,1,0,260679,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
155,Needs_Asset_Match,1036844829507460_122126239515072582,2026-06-03,,😣,6,5,1,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
156,Needs_Asset_Match,1036844829507460_122126660835072582,2026-06-04,,,6,5,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
157,Visual_Confirmed,1036844829507460_122127659763072582,2026-06-06,,🫣🫣🫣,6,5,1,0,260701,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
158,Visual_Confirmed,1036844829507460_122129227947072582,2026-06-11,,😏,6,5,1,0,260745,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
159,Visual_Confirmed,1036844829507460_122130040593072582,2026-06-12,,Dime tu cual es la necesida...,6,4,1,1,260750,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
160,User_Confirmed,1036844829507460_122130044949072582,2026-06-12,,,6,4,0,2,260736,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
161,Needs_Asset_Match,1036844829507460_122130309663072582,2026-06-14,,No corras por correr...,6,4,0,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
162,Visual_Confirmed,1036844829507460_122130392853072582,2026-06-15,,o en el que sigue del próximo... Universe Sent Me #insigth #vidareal #NoTeVayas,6,5,1,0,260764,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
163,Needs_Asset_Match,1036844829507460_122131046847072582,2026-06-16,,#veaterapia #universesentme #humoracido #vidareal,6,6,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
164,Visual_Confirmed,1036844829507460_122133493005072582,2026-06-25,,🫣🫣 ya tienen toda una historia y no se como se llaman... ¿alguna idea? #UniverseSentMe,6,5,1,0,2607810,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
165,Visual_Confirmed,1036844829507460_122125549929072582,2026-06-01,,Niegalo... a ver... te reto a que sigas la pagina 🤪 Universe Sent Me #UniverseSentMe #relatable #DespertarCosmico #gatitos #aesthetic,5,4,1,0,260698,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
166,Visual_Confirmed,1036844829507460_122126291157072582,2026-06-03,,no sean asi... sigan a la pagina 🤭 #Fblifestyle #EvolucionPersonal #DesconexiónDigital #insight #relatable #UniverseSentMe #CosasQuePasan #HumorAcido,5,2,1,2,260685,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
167,Visual_Confirmed,1036844829507460_122127211857072582,2026-06-05,,Sin rencores... u.u #EvolucionPersonal #CiclosCerrados #insight #relatable #UniverseSentMe #CosasQuePasan #Despertar #NoMeArrepiento #VidaReal,5,4,1,0,260681,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
168,Visual_Confirmed,1036844829507460_122127929847072582,2026-06-07,,😏😏😏,5,3,1,1,260720,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
169,Needs_Asset_Match,1036844829507460_122129194233072582,2026-06-11,,Avísale a tus labios que los quiero conocer,5,4,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
170,Needs_Asset_Match,1036844829507460_122133424479072582,2026-06-24,,Pero que le voy hacer... #UniverseSentMe #cosasquepasan #vidareal #payaso #humor,5,4,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
171,Visual_Confirmed,1036844829507460_122133430461072582,2026-06-24,,🥴🥴🥴,5,5,0,0,2607807,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
172,Visual_Confirmed,1036844829507460_122125909929072582,2026-06-02,,🤪,4,3,1,0,260691,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
173,Visual_Confirmed,1036844829507460_122126268399072582,2026-06-03,,🥰🥰,4,3,1,0,260692,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
174,Needs_Asset_Match,1036844829507460_122126283465072582,2026-06-03,,😌,4,3,1,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
175,Visual_Confirmed,1036844829507460_122126300817072582,2026-06-03,,Ya vas a seguir la pagina? 🙄 #UniverseSentMe #HumorAcido #aesthetic #gatitos #DespertarCosmico #Rockstar #AdultoFuncional,4,3,1,0,260682,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
176,Visual_Confirmed,1036844829507460_122128200267072582,2026-06-08,,"""No le sabes"" es como el ""Dime 3 canciones de esa banda"" jaja",4,3,0,1,260729,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
177,Needs_Asset_Match,1036844829507460_122130032151072582,2026-06-12,,De que me hablas??,4,4,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
178,Visual_Confirmed,1036844829507460_122132885193072582,2026-06-23,,😒,4,1,0,3,2607801,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
179,Needs_Asset_Match,1036844829507460_122133558903072582,2026-06-26,,#vidagatuna,4,3,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
180,Needs_Asset_Match,1036844829507460_122133971127072582,2026-06-26,,,4,4,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
181,Needs_Asset_Match,1036844829507460_122134060641072582,2026-06-27,,No hay frase motivacional...,4,2,1,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
182,Visual_Confirmed,1036844829507460_122134644177072582,2026-06-30,,Hoy ganamos! #mexico #UniverseSentMe #FIFAWolrdcup,4,4,0,0,2607845,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
183,Needs_Asset_Match,1036844829507460_122125883457072582,2026-06-02,,#DesconexiónDigital #insight #relatable #Fblifestyle #CosasQuePasan #UniverseSentMe #googlemaps #google,3,2,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
184,Needs_Asset_Match,1036844829507460_122126670549072582,2026-06-04,,Fiesta.. 😁 #universesentme #music,3,3,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
185,Needs_Asset_Match,1036844829507460_122127646659072582,2026-06-06,,De anoche.. 👻,3,3,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
186,Visual_Confirmed,1036844829507460_122127661401072582,2026-06-06,,,3,3,0,0,260715,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
187,Visual_Confirmed,1036844829507460_122127909777072582,2026-06-07,,Vayan a perder su tiempo a otro lado.. 😎 #Fblifestyle #HumorAcido #CrisisExistencial #Despertar #whatif #UniverseSentMe,3,3,0,0,260712,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
188,Visual_Confirmed,1036844829507460_122127947685072582,2026-06-07,,😳,3,2,0,1,260725,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
189,Visual_Confirmed,1036844829507460_122130102567072582,2026-06-13,,🫴,3,3,0,0,260752,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
190,Visual_Confirmed,1036844829507460_122130309363072582,2026-06-14,,Yo quiero que gane Merlin! 😆⚽️,3,3,0,0,260758,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
191,Needs_Asset_Match,1036844829507460_122130404211072582,2026-06-15,,,3,3,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
192,Visual_Confirmed,1036844829507460_122125632579072582,2026-06-01,,Admito que la terapia probablemente sea una mejor inversión. Pero las mini novelas tienen finales más rápidos. 🤭 Si quieres caer en este agujero de drama conmigo: 👇 https://apiv2.free-reels.com/frv2-api/l/2si22vlOp56 @UniverseSentMe,2,1,1,0,260710,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
193,Visual_Confirmed,1036844829507460_122125638237072582,2026-06-01,,Cosas que te dan sensación de poder...,2,0,0,2,260677,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
194,Visual_Confirmed,1036844829507460_122125649037072582,2026-06-01,,#Rockstar #aesthetic #illustration #AdultoFuncional #PazMental #EvolucionPersonal #universesentme,2,2,0,0,260688,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
195,Needs_Asset_Match,1036844829507460_122125895013072582,2026-06-02,,,2,2,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
196,Visual_Confirmed,1036844829507460_122125913145072582,2026-06-02,,Dejen de humanizar a sus gatos. 🐈 #catlife #Fblifestyle #relatable #UniverseSentMe #gatito #gathijo,2,1,0,1,260694,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
197,Visual_Confirmed,1036844829507460_122125915659072582,2026-06-02,,🥴,2,2,0,0,260689,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
198,Visual_Confirmed,1036844829507460_122126666445072582,2026-06-04,,te encargo bro.. que sigas la pagina 🤭,2,2,0,0,260687,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
199,Visual_Confirmed,1036844829507460_122127194757072582,2026-06-05,,No aguantan nada... 😙 #insight #relatable #Fblifestyle #HumorAcido #UniverseSentMe #NoMeArrepiento,2,2,0,0,260707,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
200,Visual_Confirmed,1036844829507460_122127207513072582,2026-06-05,,Los fans del terror...,2,2,0,0,260709,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
201,Visual_Confirmed,1036844829507460_122127647307072582,2026-06-06,,,2,2,0,0,260711,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
202,Visual_Confirmed,1036844829507460_122127652773072582,2026-06-06,,,2,0,2,0,014,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
203,Visual_Confirmed,1036844829507460_122127933531072582,2026-06-07,,😏,2,2,0,0,260721,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
204,User_Confirmed,1036844829507460_122127964311072582,2026-06-07,,🫣,2,1,1,0,260718,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
205,Needs_Asset_Match,1036844829507460_122125906797072582,2026-06-02,,🎧,1,0,1,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
206,Needs_Asset_Match,1036844829507460_122125918491072582,2026-06-02,,😳😳😳,1,0,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
207,Visual_Confirmed,1036844829507460_122126245077072582,2026-06-03,,Súbete... 😎 y dale like a la pagina 😉,1,1,0,0,260655,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
208,Needs_Asset_Match,1036844829507460_122126267355072582,2026-06-03,,No es algo heroico es más bien algo estoico... #cerati,1,1,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
209,Visual_Confirmed,1036844829507460_122126303037072582,2026-06-03,,Bye... #CiclosCerrados #EvolucionPersonal #DesconexiónDigital #insight #relatable #UniverseSentMe #CosasQuePasan,1,1,0,0,260656,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
210,Needs_Asset_Match,1036844829507460_122126305443072582,2026-06-03,,Que no se les escapen personas buenas por andar de indecisos... 😳😳😳 #AdultoFuncional #PazMental #illustration #aesthetic #Rockstar #EvolucionPersonal #insight #UniverseSentMe #CosasQuePasan,1,1,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
211,Needs_Asset_Match,1036844829507460_122126663949072582,2026-06-04,,🎧🫶😍,1,1,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
212,Needs_Asset_Match,1036844829507460_122127201219072582,2026-06-05,,🥰🥰🥰😘,1,1,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
213,Visual_Confirmed,1036844829507460_122127903447072582,2026-06-07,,Todos los días amanezco guapo... 🫣 #Fblifestyle #HumorAcido #UniverseSentMe #CosasQuePasan #Despertar #VidaReal #whatif,1,1,0,0,260719,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
214,Visual_Confirmed,1036844829507460_122134162881072582,2026-06-28,,🤔,1,1,0,0,2607829,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
215,Needs_Asset_Match,1036844829507460_122125569039072582,2026-06-01,,Malas decisiones... #EvolucionPersonal #DesconexiónDigital #relatable #CrisisExistencial #MalasDecisiones #UniverseSentMe #HumorAcido,0,0,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
216,Needs_Asset_Match,1036844829507460_122125894767072582,2026-06-02,,No siempre tengo cosas interesantes que contarte... pero siempre tengo ganas de hablar contigo. 🫶 #EvolucionPersonal #relatable #Fblifestyle #UniverseSentMe #VidaReal #AdultoFuncional #PazMental #illustration,0,0,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
217,Visual_Confirmed,1036844829507460_122125899687072582,2026-06-02,,😍,0,0,0,0,260703,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
218,Needs_Asset_Match,1036844829507460_122126265063072582,2026-06-03,,Mis ojos te tomaron miles de fotos... 😍,0,0,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
219,Visual_Confirmed,1036844829507460_122126295999072582,2026-06-03,,Asi es el proceso creativo papito.. 😎,0,0,0,0,260666,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
220,Needs_Asset_Match,1036844829507460_122126653755072582,2026-06-04,,Quieras o no! 🤬 pero sigue la pagina!,0,0,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
221,Needs_Asset_Match,1036844829507460_122127191541072582,2026-06-05,,podria vivir ahi...,0,0,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
222,Visual_Confirmed,1036844829507460_122127204141072582,2026-06-05,,Perdón por responder tarde. #CiclosCerrados #EvolucionPersonal #DesconexiónDigital #insight #UniverseSentMe #HumorAcido,0,0,0,0,260699,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
223,Needs_Asset_Match,1036844829507460_122127216273072582,2026-06-05,,🥴🤤😍,0,0,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
224,Visual_Confirmed,1036844829507460_122127204261072582,2026-06-06,,Quizás en otra vida...,0,0,0,0,260706,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
225,Visual_Confirmed,1036844829507460_122127644163072582,2026-06-06,,🫣,0,0,0,0,260704,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
226,Visual_Confirmed,1036844829507460_122127915363072582,2026-06-07,,,0,0,0,0,260672,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
227,Visual_Confirmed,1036844829507460_122127921585072582,2026-06-07,,,0,0,0,0,260717,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
228,Visual_Confirmed,1036844829507460_122127936261072582,2026-06-07,,😌,0,0,0,0,260723,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
229,Needs_Asset_Match,1036844829507460_122127951885072582,2026-06-07,,😌😌😌,0,0,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
230,Needs_Asset_Match,1036844829507460_122129227551072582,2026-06-11,,#arcticmonkeys #universesentme #aiart,0,0,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID."
